datetime,Ens0,Ens1,Ens2,Ens3,Ens4,Ens5,Ens6,Ens7,Ens8,Ens9,Ens10,Ens11,Ens12,Ens13,Ens14,Ens15,Ens16,Ens17,Ens18,Ens19,Ens20,Ens21,Ens22,Ens23,Ens24,Ens25,Ens26,Ens27,Ens28,Ens29,Ens30,Ens31,Ens32,Ens33,Ens34,Ens35,Ens36,Ens37,Ens38,Ens39,Ens40,Ens41,Ens42,Ens43,Ens44,Ens45,Ens46,Ens47,Ens48,Ens49,Ens50
2023-10-03,4172.43359375,5004.82275390625,3839.0078125,4052.033935546875,4225.88134765625,4066.90234375,4324.94921875,4269.1962890625,4529.7265625,4175.59326171875,4928.87646484375,4628.06103515625,3904.3583984375,3895.719482421875,4723.32470703125,3850.80029296875,4392.90380859375,3900.432861328125,4140.650390625,3977.96826171875,4058.689697265625,4185.123046875,3912.5390625,3926.603515625,4509.3935546875,3810.984619140625,3971.381591796875,3837.75830078125,4148.03955078125,4281.9404296875,4674.44970703125,3986.906005859375,4008.070556640625,4602.57763671875,3974.210693359375,3787.6279296875,4433.7021484375,4223.677734375,3849.256591796875,3788.9462890625,4252.62841796875,3969.2451171875,4334.462890625,4016.81298828125,3957.881103515625,4136.607421875,4038.604248046875,5023.78173828125,5130.5263671875,4465.86767578125,4518.0908203125
2023-10-04,4149.0869140625,5075.2041015625,3796.6650390625,4043.77783203125,4177.68212890625,4039.739501953125,4538.47314453125,4368.32177734375,4423.6796875,4181.5302734375,5109.486328125,4570.361328125,3900.9140625,3936.105712890625,5267.81103515625,3822.19384765625,4382.7666015625,3860.50537109375,4150.501953125,3944.546142578125,4052.3681640625,4236.78466796875,3890.53173828125,3923.01806640625,4565.5224609375,3812.722412109375,4006.453857421875,3828.19677734375,4250.1455078125,4314.87060546875,4768.06640625,3971.248291015625,4034.962890625,4900.8388671875,3948.36083984375,3758.7373046875,4392.466796875,4152.18115234375,3838.9560546875,3739.7763671875,4440.77392578125,3942.20166015625,4300.5048828125,4134.9287109375,3922.180908203125,4242.24658203125,4013.40625,5437.859375,5503.796875,4513.69677734375,4436.13720703125
2023-10-05,4127.6416015625,5143.6865234375,3745.088134765625,4039.5654296875,4127.5537109375,4028.6396484375,4768.04541015625,4464.52294921875,4320.62255859375,4180.94287109375,5369.55810546875,4544.14501953125,3874.16845703125,3978.493408203125,5514.67138671875,3797.004150390625,4351.27490234375,3820.46728515625,4159.01123046875,3919.723388671875,4046.345703125,4322.3232421875,3876.70751953125,3913.086181640625,4627.22607421875,3855.179443359375,4158.2333984375,3864.81298828125,4607.52294921875,4369.6708984375,4932.1484375,3960.760498046875,4046.978759765625,5048.466796875,3918.937744140625,3714.636962890625,4347.55224609375,4094.293212890625,3835.531005859375,3693.177978515625,4616.53662109375,3918.419677734375,4262.9462890625,4221.42333984375,3893.233642578125,4339.08349609375,3974.376953125,5943.99609375,5804.904296875,4543.02587890625,4331.544921875
2023-10-06,4116.80810546875,5252.689453125,3692.152099609375,4043.00439453125,4069.912841796875,4042.01123046875,5267.00439453125,4509.9248046875,4219.3876953125,4156.9970703125,5586.98779296875,4563.1865234375,3831.427001953125,4033.987548828125,5444.666015625,3794.769287109375,4303.62890625,3783.150146484375,4161.21435546875,3904.651611328125,4065.728515625,4515.57275390625,3900.082275390625,3912.275390625,4661.89306640625,3973.14453125,4463.65869140625,3978.32666015625,5038.244140625,4486.58349609375,5232.38330078125,3947.756103515625,4056.864013671875,4997.36767578125,3880.320556640625,3665.820556640625,4315.890625,4060.320556640625,3856.60595703125,3666.032958984375,4627.72802734375,3929.39990234375,4284.9189453125,4201.18310546875,3864.850341796875,4364.0615234375,3928.171142578125,6347.2255859375,5903.12744140625,4576.60888671875,4224.69970703125
2023-10-07,4164.083984375,5344.943359375,3650.35107421875,4056.279052734375,4008.65185546875,4073.54541015625,5680.88525390625,4523.728515625,4119.6875,4111.8955078125,5682.1826171875,4621.53125,3787.68212890625,4183.205078125,5272.236328125,3834.58349609375,4255.2685546875,3754.442138671875,4145.80517578125,3894.167724609375,4132.13671875,4727.4638671875,3969.90869140625,3973.075927734375,4662.4970703125,4246.81298828125,5050.732421875,4182.1767578125,5280.49658203125,4634.91455078125,5656.33642578125,3934.886474609375,4115.755859375,4851.93798828125,3833.47119140625,3611.954345703125,4312.11572265625,4058.73291015625,3916.28125,3675.228271484375,4502.89453125,4066.087158203125,4362.9130859375,4114.26708984375,3835.971435546875,4356.5673828125,3891.98046875,6294.16015625,5844.88720703125,4615.439453125,4126.8681640625
2023-10-08,4338.5869140625,5355.31640625,3636.711669921875,4051.788330078125,3947.932373046875,4107.05322265625,5652.09814453125,4540.9443359375,4032.82080078125,4060.70263671875,5631.4736328125,4690.72705078125,3757.37255859375,4416.70703125,5103.5712890625,4019.609375,4211.423828125,3711.421142578125,4111.65234375,3883.402099609375,4219.4951171875,4801.01611328125,4062.427734375,4175.8818359375,4644.212890625,4735.79150390625,6075.46826171875,4377.69482421875,5354.9326171875,4783.447265625,5973.18212890625,3913.1572265625,4306.14794921875,4703.26806640625,3809.30615234375,3562.669189453125,4333.96533203125,4077.573486328125,3974.656982421875,3706.344482421875,4334.05517578125,4312.904296875,4391.0322265625,4030.672119140625,3807.864013671875,4319.9697265625,3864.16845703125,6006.80322265625,5724.6806640625,4631.23193359375,4039.08447265625
2023-10-09,4609.15380859375,5329.21728515625,3633.24609375,4033.86328125,3893.398681640625,4132.72021484375,5496.8486328125,4608.12939453125,3957.38134765625,4012.854736328125,5474.2490234375,4731.70947265625,3726.41162109375,4599.546875,4978.60107421875,4392.17919921875,4179.12841796875,3680.00732421875,4061.9013671875,3874.873779296875,4285.0703125,4752.88671875,4143.00927734375,4474.6611328125,4610.66650390625,5282.86328125,6380.4443359375,4458.2568359375,5311.87646484375,4943.19384765625,5997.37548828125,3879.98388671875,4857.87841796875,4588.96142578125,3813.6982421875,3534.140380859375,4377.046875,4077.26220703125,3982.92724609375,3791.172119140625,4175.10107421875,4430.6494140625,4347.58447265625,3990.54541015625,3776.6865234375,4246.26806640625,3852.96533203125,5718.98828125,5600.3701171875,4620.61474609375,3964.96240234375
2023-10-10,4807.1650390625,5315.26025390625,3633.907958984375,4013.35888671875,3843.545166015625,4140.888671875,5399.53515625,4760.16552734375,3891.0751953125,3963.20361328125,5285.416015625,4719.87841796875,3692.756103515625,4689.46533203125,4923.349609375,4902.8486328125,4170.6982421875,3660.175537109375,4002.646240234375,3864.91845703125,4317.0068359375,4668.55712890625,4185.3251953125,4688.1279296875,4565.77392578125,5660.30517578125,6064.57177734375,4441.5625,5189.41796875,5069.9873046875,5815.505859375,3843.174072265625,5576.78759765625,4516.38916015625,3847.422607421875,3510.7333984375,4439.630859375,4033.0498046875,3944.179931640625,4083.92919921875,4047.54443359375,4357.13232421875,4257.91064453125,3995.30029296875,3739.56005859375,4180.70751953125,3859.99658203125,5475.361328125,5482.3818359375,4596.9716796875,3910.603759765625
2023-10-11,4847.22216796875,5316.5478515625,3625.72265625,4014.0361328125,3797.452880859375,4134.41845703125,5384.8125,4939.49560546875,3846.403564453125,3907.047119140625,5114.81494140625,4661.97998046875,3659.88671875,4770.80517578125,4973.4677734375,5619.74755859375,4191.193359375,3689.774169921875,3939.166748046875,3856.316162109375,4350.94384765625,4595.42431640625,4187.267578125,4760.193359375,4522.12548828125,6270.03076171875,5667.89013671875,4368.9208984375,5039.66748046875,5114.8681640625,5565.521484375,3818.736572265625,5825.20556640625,4468.31005859375,3917.858154296875,3474.12744140625,4516.8623046875,3957.23388671875,3886.2060546875,4450.02294921875,3930.810546875,4213.47314453125,4175.6494140625,4115.43994140625,3692.274658203125,4127.224609375,3871.635498046875,5272.48974609375,5382.85888671875,4572.59765625,3871.099853515625
2023-10-12,4749.23046875,5349.53173828125,3595.543212890625,4031.8515625,3762.47265625,4136.0791015625,5367.5771484375,5064.37646484375,3821.017333984375,3854.9375,4995.32470703125,4565.6298828125,3621.988525390625,4980.5712890625,5168.583984375,5915.5458984375,4243.673828125,3769.16162109375,3890.03125,3856.69140625,4417.66015625,4542.27783203125,4175.337890625,4737.869140625,4496.24462890625,7516.65771484375,5315.1103515625,4271.6748046875,4901.19677734375,5092.1171875,5318.08203125,3798.755859375,5726.78369140625,4457.232421875,4023.33203125,3432.06103515625,4695.37890625,3876.97412109375,3853.247314453125,4531.22265625,3810.228515625,4093.653564453125,4130.22509765625,4507.35791015625,3634.727294921875,4083.645263671875,3885.0322265625,5106.43701171875,5350.23291015625,4563.37158203125,3858.2958984375
2023-10-13,4599.09619140625,5392.75439453125,3544.54443359375,4052.9052734375,3759.18310546875,4123.240234375,5322.20458984375,5146.8076171875,3835.84326171875,3807.961669921875,4893.939453125,4448.1748046875,3591.162109375,5188.85205078125,5497.23095703125,5779.2431640625,4347.8115234375,3854.294921875,3837.76953125,3863.168701171875,4525.3818359375,4581.98046875,4176.734375,4655.21728515625,4464.39501953125,8655.404296875,5016.96923828125,4171.70361328125,4803.1533203125,5050.1552734375,5108.8515625,3776.651611328125,5578.36279296875,4553.98046875,4125.06787109375,3402.3701171875,5023.77294921875,3805.609130859375,3882.7353515625,4413.201171875,3709.558349609375,4010.322021484375,4121.37353515625,4928.74462890625,3572.431640625,4056.327880859375,3901.748291015625,4973.39208984375,5365.0185546875,4533.81640625,3882.614013671875
